torneo,fecha,partido,equipo_local,equipo_visitante,goles_local,goles_visitante,posesion_local,tiros_arco_local,intentos_local,faltas_local,tiro_esquina_local,posesion_visitante,tiros_arco_visitante,intentos_visitante,faltas_visitante,tiro_esquina_visitante,amarillas_local,amarillas_visitante,rojas_local,rojas_visitante, valor_mercado_local ,altura_media_local,edad_media_local,valor_mercado_visitante,altura_media_visitante,edad_media_visitante,resultado,fecha_encuentro,apuesta_local,apuesta_visitante,apuesta_empate
Campeonato 2018/19,1,1,Velez,Newells,2,0,46,4,9,16,6,54,2,4,13,4,2,3,0,0, $53.30 ,1.79,24.50,24.15,1.78,25.37,L,8/10/2018 19:00,2.16,3.9,2.95
Campeonato 2018/19,1,2,Tigre,San Lorenzo,2,2,52,4,13,12,4,48,7,15,13,4,2,2,0,0, $25.88 ,1.78,27.65,65.33,1.78,25.14,E,8/10/2018 21:00,2.43,3.07,3.1
Campeonato 2018/19,1,3,Gimnasia (LP),Argentinos,1,0,33,1,1,21,3,67,3,11,16,4,3,2,0,0, $21.25 ,1.77,24.82,32.53,1.77,24.78,L,8/11/2018 13:15,2.73,2.83,2.95
Campeonato 2018/19,1,4,Union,Aldosivi,1,0,50,3,12,14,11,50,0,4,17,2,1,2,0,0, $26.60 ,1.79,25.13,17.55,1.78,27.12,L,8/11/2018 15:30,1.6,6.62,3.57
Campeonato 2018/19,1,5,Patronato,Colon,0,0,45,4,14,14,9,55,5,16,13,6,1,2,0,0, $12.88 ,1.80,27.17,43.83,1.79,26.17,E,8/11/2018 17:45,2.72,2.89,2.92
Campeonato 2018/19,1,6,Belgrano,San Martin (SJ),0,0,51,4,10,13,9,49,4,15,16,4,2,3,0,0, $25.90 ,1.80,25.11,12.35,1.78,28.20,E,8/11/2018 20:00,1.79,5.03,3.33
Campeonato 2018/19,1,7,Boca Juniors,Talleres (C),1,0,45,7,16,13,12,55,2,10,13,2,2,1,0,0, $201.05 ,1.79,24.88,47.78,1.77,23.90,L,8/12/2018 11:00,1.51,7.29,3.82
Campeonato 2018/19,1,8,Godoy Cruz,Estudiantes (LP),1,0,31,3,7,11,7,69,5,20,13,10,3,4,1,0, $41.53 ,1.80,23.12,32.00,1.79,25.13,L,8/12/2018 13:15,2.31,3.47,2.96
Campeonato 2018/19,1,9,Lanus,Def y Justicia,2,2,41,4,8,18,8,59,2,9,13,5,1,3,0,0, $54.48 ,1.80,24.94,59.83,1.78,25.89,E,8/12/2018 15:30,2.91,2.68,2.92
Campeonato 2018/19,1,10,Rosario Central,Banfield,1,0,57,4,13,22,9,43,0,5,22,6,3,4,0,0, $34.15 ,1.78,24.85,30.18,1.79,25.25,L,8/12/2018 17:45,1.8,5.04,3.3
Campeonato 2018/19,1,11,Huracan,River Plate,0,0,37,3,9,14,4,63,2,6,14,2,1,3,0,0, $33.30 ,1.79,27.29,148.58,1.78,25.34,E,8/12/2018 20:00,5.16,1.72,3.54
Campeonato 2018/19,1,12,Atl Tucuman,Racing Club,2,2,44,4,16,12,3,56,6,14,13,3,4,5,0,0, $21.90 ,1.80,27.69,79.23,1.79,26.24,E,8/13/2018 21:00,3.03,2.44,3.14
Campeonato 2018/19,1,13,Independiente,San Martin (T),4,0,53,6,16,14,3,47,1,12,20,7,2,3,0,0, $107.65 ,1.78,25.89,12.95,1.79,27.36,L,11/7/2018 20:15,1.4,8.6,4.3
Campeonato 2018/19,2,1,Talleres (C),Rosario Central,0,1,56,2,13,12,4,44,1,6,14,2,2,3,0,0, $47.78 ,1.77,23.90,34.15,1.78,24.85,V,8/17/2018 19:00,2.41,3.35,2.9
Campeonato 2018/19,2,2,Newells,Independiente,2,2,45,4,13,15,3,55,5,10,13,5,2,4,1,0, $24.15 ,1.78,25.37,107.65,1.78,25.89,E,8/17/2018 21:00,3.02,2.6,2.92
Campeonato 2018/19,2,3,Def y Justicia,Atl Tucuman,1,1,65,3,14,14,14,35,5,8,14,3,4,1,0,1, $59.83 ,1.78,25.89,21.90,1.80,27.69,E,8/18/2018 13:15,2,4.17,3.1
Campeonato 2018/19,2,4,Banfield,Gimnasia (LP),1,0,40,6,12,11,2,60,3,17,18,8,1,4,0,0, $30.18 ,1.79,25.25,21.25,1.77,24.82,L,8/18/2018 15:30,2.32,3.36,3.01
Campeonato 2018/19,2,5,Argentinos,Godoy Cruz,0,0,63,3,18,20,7,37,0,3,13,1,3,4,0,0, $32.53 ,1.77,24.78,41.53,1.80,23.12,E,8/18/2018 17:45,2.32,3.39,2.99
Campeonato 2018/19,2,6,River Plate,Belgrano,0,0,79,7,27,10,12,21,0,4,13,1,0,3,0,0, $148.58 ,1.78,25.34,25.90,1.80,25.11,E,8/18/2018 20:00,1.44,7.9,4.16
Campeonato 2018/19,2,7,San Martin (SJ),Patronato,1,0,57,5,13,18,4,43,4,13,15,8,5,4,0,0, $12.35 ,1.78,28.20,12.88,1.80,27.17,L,8/19/2018 11:00,2.19,3.7,2.99
Campeonato 2018/19,2,8,Colon,Tigre,2,2,49,5,11,17,2,51,5,15,20,8,2,2,0,0, $43.83 ,1.79,26.17,25.88,1.78,27.65,E,8/19/2018 13:15,2.16,3.63,3.09
Campeonato 2018/19,2,9,Aldosivi,Huracan,2,1,55,6,23,12,5,45,2,10,15,4,3,1,0,0, $17.55 ,1.78,27.12,33.30,1.79,27.29,L,8/19/2018 15:30,2.96,2.67,2.87
Campeonato 2018/19,2,10,San Lorenzo,Lanus,2,2,45,5,13,15,5,55,5,17,12,7,4,2,0,0, $65.33 ,1.78,25.14,54.48,1.80,24.94,E,8/19/2018 17:45,2.18,3.69,3.04
Campeonato 2018/19,2,11,Racing Club,Velez,2,0,41,4,10,8,6,59,1,9,17,10,2,3,0,0, $79.23 ,1.79,26.24,53.30,1.79,24.50,L,8/19/2018 20:00,1.96,4.37,3.14
Campeonato 2018/19,2,12,Estudiantes (LP),Boca Juniors,2,0,50,5,9,20,3,50,4,13,23,8,3,5,0,0, $32.00 ,1.79,25.13,201.05,1.79,24.88,L,8/20/2018 15:30,4.45,1.96,3.09
Campeonato 2018/19,2,13,San Martin (T),Union,1,1,45,3,12,7,2,55,4,15,12,7,2,2,0,0, $12.95 ,1.79,27.36,26.60,1.79,25.13,E,8/20/2018 17:45,3.01,2.62,2.9
Campeonato 2018/19,3,1,Patronato,Racing Club,0,3,37,4,11,14,4,63,4,13,15,4,3,4,0,0, $12.88 ,1.80,27.17,79.23,1.79,26.24,V,8/24/2018 19:00,3.31,2.34,3.02
Campeonato 2018/19,3,2,Belgrano,Estudiantes (LP),2,1,44,9,16,14,10,56,3,13,14,5,2,4,0,0, $25.90 ,1.80,25.11,32.00,1.79,25.13,L,8/24/2018 19:00,2.16,3.86,2.96
Campeonato 2018/19,3,3,Atl Tucuman,Colon,2,1,49,5,20,9,9,51,3,14,12,8,0,1,0,0, $21.90 ,1.80,27.69,43.83,1.79,26.17,L,8/24/2018 21:15,2.55,2.98,2.97
Campeonato 2018/19,3,4,Independiente,Def y Justicia,0,1,70,3,11,14,6,30,3,8,22,3,2,3,0,0, $107.65 ,1.78,25.89,59.83,1.78,25.89,V,8/24/2018 21:15,2.34,3.45,2.91
Campeonato 2018/19,3,5,Gimnasia (LP),Talleres (C),0,2,49,6,11,15,9,51,6,14,17,6,2,2,0,0, $21.25 ,1.77,24.82,47.78,1.77,23.90,V,8/25/2018 15:30,2.62,3.1,2.79
Campeonato 2018/19,3,6,Tigre,San Martin (SJ),2,2,44,3,8,16,4,56,5,16,13,6,2,2,0,0, $25.88 ,1.78,27.65,12.35,1.78,28.20,E,8/25/2018 17:45,1.59,5.97,3.82
Campeonato 2018/19,3,7,River Plate,Argentinos,0,0,67,4,11,7,12,33,4,8,24,5,2,3,0,0, $148.58 ,1.78,25.34,32.53,1.77,24.78,E,8/25/2018 20:00,1.49,7.65,3.83
Campeonato 2018/19,3,8,Velez,Banfield,1,1,67,6,11,20,11,33,1,8,12,6,2,2,0,0, $53.30 ,1.79,24.50,30.18,1.79,25.25,E,8/26/2018 11:00,1.96,4.32,3.1
Campeonato 2018/19,3,9,Lanus,Aldosivi,0,1,59,2,14,9,9,41,4,7,21,6,1,5,0,0, $54.48 ,1.80,24.94,17.55,1.78,27.12,V,8/26/2018 15:30,1.84,5.14,3.09
Campeonato 2018/19,3,10,Rosario Central,San Martin (T),2,0,48,6,13,13,5,52,1,12,11,2,1,1,0,0, $34.15 ,1.78,24.85,12.95,1.79,27.36,L,8/26/2018 17:45,1.59,6.4,3.62
Campeonato 2018/19,3,11,Huracan,Boca Juniors,0,0,45,2,15,19,6,55,1,11,13,6,3,1,0,0, $33.30 ,1.79,27.29,201.05,1.79,24.88,E,8/26/2018 20:00,4.65,1.93,3.05
Campeonato 2018/19,3,12,Godoy Cruz,Newells,2,1,43,4,13,8,9,57,6,19,8,6,0,1,0,0, $41.53 ,1.80,23.12,24.15,1.78,25.37,L,8/27/2018 19:00,2.13,3.88,3.01
Campeonato 2018/19,3,13,Union,San Lorenzo,1,1,62,9,26,10,7,38,2,6,13,3,2,2,0,0, $26.60 ,1.79,25.13,65.33,1.78,25.14,E,8/27/2018 21:00,1.99,4.38,3.05
Campeonato 2018/19,4,1,Argentinos,Lanus,2,0,39,5,10,14,2,61,2,9,15,5,3,4,0,0, $32.53 ,1.77,24.78,54.48,1.80,24.94,L,8/31/2018 19:00,2.48,3.31,2.83
Campeonato 2018/19,4,2,San Martin (SJ),Huracan,1,2,49,2,17,10,9,51,6,11,14,7,1,6,1,0, $12.35 ,1.78,28.20,33.30,1.79,27.29,V,8/31/2018 21:00,2.75,2.93,2.82
Campeonato 2018/19,4,3,Def y Justicia,Belgrano,1,1,77,5,20,14,11,23,3,9,10,2,1,1,0,0, $59.83 ,1.78,25.89,25.90,1.80,25.11,E,9/1/2018 13:15,1.93,4.63,3.06
Campeonato 2018/19,4,4,Banfield,Patronato,1,0,41,6,16,16,5,59,2,7,11,4,2,1,0,0, $30.18 ,1.79,25.25,12.88,1.80,27.17,L,9/1/2018 15:30,1.87,4.96,3.08
Campeonato 2018/19,4,5,Talleres (C),Godoy Cruz,1,0,53,6,15,13,4,47,2,10,16,1,1,2,0,0, $47.78 ,1.77,23.90,41.53,1.80,23.12,L,9/1/2018 17:45,2.07,3.99,3.04
Campeonato 2018/19,4,6,San Lorenzo,River Plate,1,1,50,5,16,12,5,50,3,13,18,3,5,1,1,0, $65.33 ,1.78,25.14,148.58,1.78,25.34,E,9/1/2018 20:00,4.96,1.74,3.5
Campeonato 2018/19,4,7,Racing Club,Rosario Central,2,0,62,6,12,16,6,38,1,6,21,4,2,4,0,0, $79.23 ,1.79,26.24,34.15,1.78,24.85,L,9/2/2018 11:00,2.01,3.87,3.29
Campeonato 2018/19,4,8,Estudiantes (LP),Independiente,2,2,41,4,6,21,2,59,4,10,20,4,5,6,0,1, $32.00 ,1.79,25.13,107.65,1.78,25.89,E,9/2/2018 13:15,3.09,2.61,2.83
